keyword,video,parent_video,current_depth,pubdate,likes,dislikes,rating,reco_count,fetch_time,reco_list,elapsed,trace,parent_trace
Joe Biden,eoIxx_vCcQk,,0,2021-12-05,113,-1,3.4171124,5,2021-12-06 13:30:11,"F4Sc70nyYBE,pOIjNuFxYDE,5w_iAVj9DSs,RkS01lL8mhg,AZC7Y_fPiWw",2.480223,1000000,0
Joe Biden,F4Sc70nyYBE,eoIxx_vCcQk,1,2021-12-05,458,-1,4.6421471,5,2021-12-06 13:30:14,"iG8-Y8nMPPY,bA9lKS9MgRk,5w_iAVj9DSs,0S1pZrMHO6g,ki4Fbctwnjs",2.581323,1010000,1000000
Joe Biden,iG8-Y8nMPPY,F4Sc70nyYBE,2,2021-12-04,101,-1,3.1151834,5,2021-12-06 13:30:16,"aoTrzEAIwo4,bA9lKS9MgRk,kUi7hTCEqGk,QlBTKmVVOOQ,ki4Fbctwnjs",2.665075,1011000,1010000
Joe Biden,aoTrzEAIwo4,iG8-Y8nMPPY,3,2021-12-04,-1,-1,4.1311154,5,2021-12-06 13:30:19,"Sum3SBb3svk,KvTqLqHf5Yc,VeUwoFYc-v0,P-9hO4wF_xw,6VVwC1Ce9xo",2.784415,1011100,1011000
Joe Biden,Sum3SBb3svk,aoTrzEAIwo4,4,2021-12-03,12,-1,4.4285712,5,2021-12-06 13:30:22,"M7rCsB4ETBA,yQ63a2dDDSI,p9_ZCKLe-MI,cHUDEvE8Mdo,OYk6sVBVqI0",2.635696,1011110,1011100
Joe Biden,M7rCsB4ETBA,Sum3SBb3svk,5,2021-12-04,27,-1,4.483871,0,2021-12-06 13:30:24,,2.601113,1011111,1011110
Joe Biden,yQ63a2dDDSI,Sum3SBb3svk,5,2021-12-04,56,-1,4.6721311,0,2021-12-06 13:30:27,,2.610447,1011112,1011110
Joe Biden,p9_ZCKLe-MI,Sum3SBb3svk,5,2021-11-28,-1,-1,2.0707753,0,2021-12-06 13:30:30,,2.635176,1011113,1011110
Joe Biden,cHUDEvE8Mdo,Sum3SBb3svk,5,2021-12-02,-1,-1,4.9113922,0,2021-12-06 13:30:32,,2.562308,1011114,1011110
Joe Biden,OYk6sVBVqI0,Sum3SBb3svk,5,2021-12-01,8,-1,5.0,0,2021-12-06 13:30:35,,2.820484,1011115,1011110
Joe Biden,KvTqLqHf5Yc,aoTrzEAIwo4,4,2021-12-03,-1,-1,4.8571429,3,2021-12-06 13:30:40,"_FtvyoO3gCk,_wKFEwiKwfQ,PhvB6DRIZ4I",5.344159,1011120,1011100
Joe Biden,_FtvyoO3gCk,KvTqLqHf5Yc,5,2021-12-05,188,-1,4.8762889,0,2021-12-06 13:30:44,,3.523552,1011121,1011120
Joe Biden,_wKFEwiKwfQ,KvTqLqHf5Yc,5,2021-12-05,35,-1,4.8888888,0,2021-12-06 13:30:48,,3.816042,1011122,1011120
Joe Biden,PhvB6DRIZ4I,KvTqLqHf5Yc,5,2021-12-01,521,-1,4.3831167,0,2021-12-06 13:30:50,,2.613379,1011123,1011120
Joe Biden,VeUwoFYc-v0,aoTrzEAIwo4,4,2021-12-03,30,-1,4.3333335,5,2021-12-06 13:30:53,"_FtvyoO3gCk,_wKFEwiKwfQ,PhvB6DRIZ4I,py93nMBKFic,LEEOHgL0Msk",2.840287,1011130,1011100
Joe Biden,_FtvyoO3gCk,VeUwoFYc-v0,5,2021-12-05,188,-1,-1.0,0,2021-12-06 13:30:56,,2.673831,1011131,1011130
Joe Biden,_wKFEwiKwfQ,VeUwoFYc-v0,5,2021-12-05,35,-1,4.8888888,0,2021-12-06 13:30:59,,2.557821,1011132,1011130
Joe Biden,PhvB6DRIZ4I,VeUwoFYc-v0,5,2021-12-01,521,-1,4.3831167,0,2021-12-06 13:31:01,,2.541094,1011133,1011130
Joe Biden,py93nMBKFic,VeUwoFYc-v0,5,2021-11-20,-1,-1,4.9274135,0,2021-12-06 13:31:04,,2.711041,1011134,1011130
Joe Biden,LEEOHgL0Msk,VeUwoFYc-v0,5,2021-12-05,-1,-1,4.9412966,0,2021-12-06 13:31:07,,2.881833,1011135,1011130
Joe Biden,P-9hO4wF_xw,aoTrzEAIwo4,4,2020-07-05,-1,-1,4.7513428,5,2021-12-06 13:31:10,"ZtAOxeKouSE,IXsXXxRek2Q,2UqmiENLnqQ,693ezGCqF6E,VQOOxOl9l80",2.815536,1011140,1011100
Joe Biden,ZtAOxeKouSE,P-9hO4wF_xw,5,2019-11-10,-1,-1,4.8051252,0,2021-12-06 13:31:12,,2.675769,1011141,1011140
Joe Biden,IXsXXxRek2Q,P-9hO4wF_xw,5,2020-06-28,-1,-1,4.6312504,0,2021-12-06 13:31:15,,2.709768,1011142,1011140
Joe Biden,2UqmiENLnqQ,P-9hO4wF_xw,5,2021-11-26,-1,-1,4.7295332,0,2021-12-06 13:31:18,,2.678351,1011143,1011140
Joe Biden,693ezGCqF6E,P-9hO4wF_xw,5,2021-12-01,-1,-1,4.7174864,0,2021-12-06 13:31:20,,2.832726,1011144,1011140
Joe Biden,VQOOxOl9l80,P-9hO4wF_xw,5,2019-11-10,-1,-1,4.6580853,0,2021-12-06 13:31:23,,2.846809,1011145,1011140
Joe Biden,6VVwC1Ce9xo,aoTrzEAIwo4,4,2021-12-03,-1,-1,4.8985229,5,2021-12-06 13:31:26,"-tGE_HKvkrU,4ljKpK13BO0,P-9hO4wF_xw,s54H5d34GWE,qFBKAFm4oB4",2.674446,1011150,1011100
Joe Biden,-tGE_HKvkrU,6VVwC1Ce9xo,5,2021-12-05,-1,-1,4.8624454,0,2021-12-06 13:31:28,,2.370164,1011151,1011150
Joe Biden,4ljKpK13BO0,6VVwC1Ce9xo,5,2020-11-27,-1,-1,4.8247023,0,2021-12-06 13:31:31,,2.744599,1011152,1011150
Joe Biden,P-9hO4wF_xw,6VVwC1Ce9xo,5,2020-07-05,-1,-1,4.7513428,0,2021-12-06 13:31:34,,2.682434,1011153,1011150
Joe Biden,s54H5d34GWE,6VVwC1Ce9xo,5,2021-05-24,-1,-1,4.8853326,0,2021-12-06 13:31:37,,2.811317,1011154,1011150
Joe Biden,qFBKAFm4oB4,6VVwC1Ce9xo,5,2021-11-29,-1,-1,4.8035049,0,2021-12-06 13:31:39,,2.522419,1011155,1011150
Joe Biden,bA9lKS9MgRk,iG8-Y8nMPPY,3,2021-12-04,233,-1,4.8995814,5,2021-12-06 13:31:42,"KgMrO9i4sy0,p9_ZCKLe-MI,OK9zhumtGg0,ki4Fbctwnjs,AZC7Y_fPiWw",2.582707,1011200,1011000
Joe Biden,KgMrO9i4sy0,bA9lKS9MgRk,4,2021-11-28,-1,-1,4.4440699,5,2021-12-06 13:31:45,"sKo_Uk6z3KM,4cgjRCjpsQ0,0qZximL0Wew,ODLKcFQNI-0,QabAtYBnqro",2.801105,1011210,1011200
Joe Biden,sKo_Uk6z3KM,KgMrO9i4sy0,5,2021-11-27,843,-1,2.9368179,0,2021-12-06 13:31:48,,3.768911,1011211,1011210
Joe Biden,4cgjRCjpsQ0,KgMrO9i4sy0,5,2021-11-27,-1,-1,1.8950386,0,2021-12-06 13:31:51,,2.694324,1011212,1011210
Joe Biden,0qZximL0Wew,KgMrO9i4sy0,5,2021-11-28,131,-1,2.9194138,0,2021-12-06 13:31:54,,2.901046,1011213,1011210
Joe Biden,ODLKcFQNI-0,KgMrO9i4sy0,5,2021-12-02,-1,-1,4.8780851,0,2021-12-06 13:31:57,,2.62837,1011214,1011210
Joe Biden,QabAtYBnqro,KgMrO9i4sy0,5,2021-11-04,-1,-1,4.9078088,0,2021-12-06 13:31:59,,2.621256,1011215,1011210
Joe Biden,p9_ZCKLe-MI,bA9lKS9MgRk,4,2021-11-28,-1,-1,2.0707753,5,2021-12-06 13:32:02,"sKo_Uk6z3KM,4cgjRCjpsQ0,0qZximL0Wew,DzTvQ7HyW6I,ky4u-lH9q9g",2.709953,1011220,1011200
Joe Biden,sKo_Uk6z3KM,p9_ZCKLe-MI,5,2021-11-27,843,-1,2.9368179,0,2021-12-06 13:32:05,,2.77652,1011221,1011220
Joe Biden,4cgjRCjpsQ0,p9_ZCKLe-MI,5,2021-11-27,-1,-1,-1.0,0,2021-12-06 13:32:08,,2.792592,1011222,1011220
Joe Biden,0qZximL0Wew,p9_ZCKLe-MI,5,2021-11-28,131,-1,2.9194138,0,2021-12-06 13:32:10,,2.659292,1011223,1011220
Joe Biden,DzTvQ7HyW6I,p9_ZCKLe-MI,5,2021-11-28,-1,-1,2.5206511,0,2021-12-06 13:32:13,,2.578921,1011224,1011220
Joe Biden,ky4u-lH9q9g,p9_ZCKLe-MI,5,,-1,-1,-1.0,0,2021-12-06 13:32:18,,4.775994,1011225,1011220
Joe Biden,OK9zhumtGg0,bA9lKS9MgRk,5,2020-03-07,-1,-1,4.862433,0,2021-12-06 13:32:28,,10.571694,1011230,1011200
Joe Biden,ki4Fbctwnjs,bA9lKS9MgRk,4,2021-09-30,-1,-1,4.9512362,5,2021-12-06 13:32:31,"DgU-q384pO4,29n2bv7F6uc,NNWEWFWtJ1Q,CtWqv0Z3ErM,U0e7OCfAO64",3.163274,1011240,1011200
Joe Biden,DgU-q384pO4,ki4Fbctwnjs,5,2021-11-01,-1,-1,4.9236608,0,2021-12-06 13:32:34,,3.122476,1011241,1011240
Joe Biden,29n2bv7F6uc,ki4Fbctwnjs,5,2021-08-26,-1,-1,4.9170094,0,2021-12-06 13:32:38,,3.138504,1011242,1011240
Joe Biden,NNWEWFWtJ1Q,ki4Fbctwnjs,5,2020-11-19,-1,-1,4.9043899,0,2021-12-06 13:32:41,,3.045363,1011243,1011240
Joe Biden,CtWqv0Z3ErM,ki4Fbctwnjs,5,2019-11-07,-1,-1,4.9326162,0,2021-12-06 13:32:44,,3.062398,1011244,1011240
Joe Biden,U0e7OCfAO64,ki4Fbctwnjs,5,2020-06-23,-1,-1,4.9116669,0,2021-12-06 13:32:47,,3.253161,1011245,1011240
Joe Biden,AZC7Y_fPiWw,bA9lKS9MgRk,4,2021-12-02,-1,-1,4.9423141,5,2021-12-06 13:32:50,"SEisl-8EtH4,7z5x_5Ve6s4,8TdgLS99Nsc,5elw2-LsCDc,LVciGHJ_x9E",3.11591,1011250,1011200
Joe Biden,SEisl-8EtH4,AZC7Y_fPiWw,5,2021-12-06,-1,-1,4.9410028,0,2021-12-06 13:32:52,,2.371401,1011251,1011250
Joe Biden,7z5x_5Ve6s4,AZC7Y_fPiWw,5,2021-12-03,-1,-1,4.9417448,0,2021-12-06 13:32:55,,2.730187,1011252,1011250
Joe Biden,8TdgLS99Nsc,AZC7Y_fPiWw,5,,-1,-1,-1.0,0,2021-12-06 13:33:00,,4.695706,1011253,1011250
Joe Biden,5elw2-LsCDc,AZC7Y_fPiWw,5,2021-12-02,-1,-1,4.9322829,0,2021-12-06 13:33:03,,2.853235,1011254,1011250
Joe Biden,LVciGHJ_x9E,AZC7Y_fPiWw,5,2021-12-06,788,-1,4.8439026,0,2021-12-06 13:33:05,,2.510668,1011255,1011250
Joe Biden,kUi7hTCEqGk,iG8-Y8nMPPY,3,2021-12-04,360,-1,4.7209301,5,2021-12-06 13:33:08,"bA9lKS9MgRk,aoTrzEAIwo4,6hu3x0AnLKA,-j8mUirOYwI,ki4Fbctwnjs",2.644741,1011300,1011000
Joe Biden,bA9lKS9MgRk,kUi7hTCEqGk,4,2021-12-04,234,-1,4.9000001,5,2021-12-06 13:33:11,"KgMrO9i4sy0,p9_ZCKLe-MI,OK9zhumtGg0,ki4Fbctwnjs,YtAL8y2lACs",2.632545,1011310,1011300
Joe Biden,KgMrO9i4sy0,bA9lKS9MgRk,5,2021-11-28,-1,-1,4.4440699,0,2021-12-06 13:33:13,,2.675762,1011311,1011310
Joe Biden,p9_ZCKLe-MI,bA9lKS9MgRk,5,2021-11-28,-1,-1,2.0707753,0,2021-12-06 13:33:16,,2.754384,1011312,1011310
Joe Biden,OK9zhumtGg0,bA9lKS9MgRk,5,2020-03-07,-1,-1,4.862433,0,2021-12-06 13:33:19,,2.704452,1011313,1011310
Joe Biden,ki4Fbctwnjs,bA9lKS9MgRk,5,2021-09-30,-1,-1,4.9512362,0,2021-12-06 13:33:22,,3.186821,1011314,1011310
Joe Biden,YtAL8y2lACs,bA9lKS9MgRk,5,2021-07-22,-1,-1,4.8121881,0,2021-12-06 13:33:25,,3.437937,1011315,1011310
Joe Biden,aoTrzEAIwo4,kUi7hTCEqGk,4,2021-12-04,-1,-1,4.1311154,5,2021-12-06 13:33:29,"Sum3SBb3svk,KvTqLqHf5Yc,VeUwoFYc-v0,P-9hO4wF_xw,-tGE_HKvkrU",3.742112,1011320,1011300
Joe Biden,Sum3SBb3svk,aoTrzEAIwo4,5,2021-12-03,12,-1,4.4285712,0,2021-12-06 13:33:32,,2.727845,1011321,1011320
Joe Biden,KvTqLqHf5Yc,aoTrzEAIwo4,5,2021-12-03,27,-1,4.8571429,0,2021-12-06 13:33:34,,2.570626,1011322,1011320
Joe Biden,VeUwoFYc-v0,aoTrzEAIwo4,5,2021-12-03,30,-1,-1.0,0,2021-12-06 13:33:37,,2.631896,1011323,1011320
Joe Biden,P-9hO4wF_xw,aoTrzEAIwo4,5,2020-07-05,-1,-1,4.7513428,0,2021-12-06 13:33:40,,2.776475,1011324,1011320
Joe Biden,-tGE_HKvkrU,aoTrzEAIwo4,5,2021-12-05,-1,-1,4.8628197,0,2021-12-06 13:33:42,,2.339504,1011325,1011320
Joe Biden,6hu3x0AnLKA,kUi7hTCEqGk,4,2021-12-02,-1,-1,4.8360658,5,2021-12-06 13:33:47,"GaLcDuFGuC0,QmcPrZ0Vgeo,MldsJa193tQ,AZC7Y_fPiWw,ykYvXhXCe38",4.506921,1011330,1011300
Joe Biden,GaLcDuFGuC0,6hu3x0AnLKA,5,2021-12-01,-1,-1,4.8391438,0,2021-12-06 13:33:49,,2.503276,1011331,1011330
Joe Biden,QmcPrZ0Vgeo,6hu3x0AnLKA,5,2021-12-01,-1,-1,4.8466558,0,2021-12-06 13:33:52,,2.675292,1011332,1011330
Joe Biden,MldsJa193tQ,6hu3x0AnLKA,5,2021-12-03,-1,-1,4.8006287,0,2021-12-06 13:33:55,,2.562192,1011333,1011330
Joe Biden,AZC7Y_fPiWw,6hu3x0AnLKA,5,2021-12-02,-1,-1,4.9423151,0,2021-12-06 13:33:57,,2.899978,1011334,1011330
Joe Biden,ykYvXhXCe38,6hu3x0AnLKA,5,2021-12-05,-1,-1,4.9308128,0,2021-12-06 13:34:00,,2.742003,1011335,1011330
Joe Biden,-j8mUirOYwI,kUi7hTCEqGk,4,2021-12-04,420,-1,4.8620691,5,2021-12-06 13:34:07,"4J4432QEFl0,QmcPrZ0Vgeo,JG8PhtFrO0Y,JJLJdPMIvso,Qek_BQakhdU",7.010759,1011340,1011300
Joe Biden,4J4432QEFl0,-j8mUirOYwI,5,2021-12-03,-1,-1,4.8802085,0,2021-12-06 13:34:10,,2.679255,1011341,1011340
Joe Biden,QmcPrZ0Vgeo,-j8mUirOYwI,5,2021-12-01,-1,-1,4.8466558,0,2021-12-06 13:34:12,,2.407574,1011342,1011340
Joe Biden,JG8PhtFrO0Y,-j8mUirOYwI,5,2021-11-11,-1,-1,4.65909,0,2021-12-06 13:34:15,,2.645613,1011343,1011340
Joe Biden,JJLJdPMIvso,-j8mUirOYwI,5,2021-12-03,720,-1,4.5424356,0,2021-12-06 13:34:17,,2.406289,1011344,1011340
Joe Biden,Qek_BQakhdU,-j8mUirOYwI,5,2021-12-03,704,-1,4.9274755,0,2021-12-06 13:34:20,,2.570741,1011345,1011340
Joe Biden,ki4Fbctwnjs,kUi7hTCEqGk,4,2021-09-30,-1,-1,4.9512372,5,2021-12-06 13:34:23,"DgU-q384pO4,29n2bv7F6uc,NNWEWFWtJ1Q,CtWqv0Z3ErM,U0e7OCfAO64",3.04811,1011350,1011300
Joe Biden,DgU-q384pO4,ki4Fbctwnjs,5,2021-11-01,-1,-1,4.9236693,0,2021-12-06 13:34:26,,3.054794,1011351,1011350
Joe Biden,29n2bv7F6uc,ki4Fbctwnjs,5,2021-08-26,-1,-1,4.9170094,0,2021-12-06 13:34:29,,3.274126,1011352,1011350
Joe Biden,NNWEWFWtJ1Q,ki4Fbctwnjs,5,2020-11-19,-1,-1,4.9043899,0,2021-12-06 13:34:33,,3.155622,1011353,1011350
Joe Biden,CtWqv0Z3ErM,ki4Fbctwnjs,5,2019-11-07,-1,-1,4.9326162,0,2021-12-06 13:34:36,,3.046813,1011354,1011350
Joe Biden,U0e7OCfAO64,ki4Fbctwnjs,5,2020-06-23,-1,-1,4.9116669,0,2021-12-06 13:34:39,,2.997774,1011355,1011350
Joe Biden,QlBTKmVVOOQ,iG8-Y8nMPPY,3,2021-12-02,-1,-1,4.8228216,5,2021-12-06 13:34:41,"RkS01lL8mhg,ODLKcFQNI-0,AZC7Y_fPiWw,1Paq17X6ucQ,tepOs-KWxLE",2.73573,1011400,1011000
Joe Biden,RkS01lL8mhg,QlBTKmVVOOQ,4,2021-12-05,-1,-1,4.943265,5,2021-12-06 13:34:44,"LmClg5oLnQ0,ZCP-ieR5Zf0,Yx_4m_W4ayU,CtWhV1WTk18,Svdi7U6FIE8",2.732106,1011410,1011400
Joe Biden,LmClg5oLnQ0,RkS01lL8mhg,5,2021-12-03,-1,-1,4.7667561,0,2021-12-06 13:34:47,,2.728553,1011411,1011410
Joe Biden,ZCP-ieR5Zf0,RkS01lL8mhg,5,2021-12-03,-1,-1,4.9193797,0,2021-12-06 13:34:50,,2.692654,1011412,1011410
Joe Biden,Yx_4m_W4ayU,RkS01lL8mhg,5,2021-12-04,-1,-1,4.9439511,0,2021-12-06 13:34:52,,2.691127,1011413,1011410
Joe Biden,CtWhV1WTk18,RkS01lL8mhg,5,2021-12-05,-1,-1,4.9460554,0,2021-12-06 13:34:55,,3.037926,1011414,1011410
Joe Biden,Svdi7U6FIE8,RkS01lL8mhg,5,2021-12-05,-1,-1,4.8817558,0,2021-12-06 13:34:58,,2.676912,1011415,1011410
Joe Biden,ODLKcFQNI-0,QlBTKmVVOOQ,4,2021-12-02,-1,-1,4.8780665,5,2021-12-06 13:35:01,"aoV7DdFimec,hYhHwgjGR1Y,1Paq17X6ucQ,qXcH26M7PQM,ki4Fbctwnjs",2.814526,1011420,1011400
Joe Biden,aoV7DdFimec,ODLKcFQNI-0,5,2021-12-05,649,-1,4.7953215,0,2021-12-06 13:35:03,,2.550398,1011421,1011420
Joe Biden,hYhHwgjGR1Y,ODLKcFQNI-0,5,2021-12-03,-1,-1,4.9457192,0,2021-12-06 13:35:06,,2.540577,1011422,1011420
Joe Biden,1Paq17X6ucQ,ODLKcFQNI-0,5,2021-12-05,-1,-1,4.9153514,0,2021-12-06 13:35:09,,2.689329,1011423,1011420
Joe Biden,qXcH26M7PQM,ODLKcFQNI-0,5,2021-12-02,-1,-1,4.8455758,0,2021-12-06 13:35:13,,4.412603,1011424,1011420
Joe Biden,ki4Fbctwnjs,ODLKcFQNI-0,5,2021-09-30,-1,-1,-1.0,0,2021-12-06 13:35:16,,3.015573,1011425,1011420
Joe Biden,AZC7Y_fPiWw,QlBTKmVVOOQ,4,2021-12-02,-1,-1,4.9423184,5,2021-12-06 13:35:21,"SEisl-8EtH4,RkS01lL8mhg,1Paq17X6ucQ,shoVsQhou-8,8TdgLS99Nsc",4.88968,1011430,1011400
Joe Biden,SEisl-8EtH4,AZC7Y_fPiWw,5,2021-12-06,-1,-1,4.9439697,0,2021-12-06 13:35:23,,2.421359,1011431,1011430
Joe Biden,RkS01lL8mhg,AZC7Y_fPiWw,5,2021-12-05,-1,159,4.9432702,0,2021-12-06 13:35:26,,2.714,1011432,1011430
Joe Biden,1Paq17X6ucQ,AZC7Y_fPiWw,5,2021-12-05,-1,-1,4.9153514,0,2021-12-06 13:35:29,,2.844861,1011433,1011430
Joe Biden,shoVsQhou-8,AZC7Y_fPiWw,5,,-1,-1,-1.0,0,2021-12-06 13:35:35,,6.11311,1011434,1011430
Joe Biden,8TdgLS99Nsc,AZC7Y_fPiWw,5,,-1,-1,-1.0,0,2021-12-06 13:35:42,,6.657824,1011435,1011430
Joe Biden,1Paq17X6ucQ,QlBTKmVVOOQ,4,2021-12-05,-1,-1,4.9153562,5,2021-12-06 13:35:44,"V5g9AVqRsjo,dBnniua6-oM,B--S1tzXH3g,7rZZTPp-eYU,MF1jJy1F-8I",2.449827,1011440,1011400
Joe Biden,V5g9AVqRsjo,1Paq17X6ucQ,5,2021-11-17,-1,-1,4.9169517,0,2021-12-06 13:35:49,,4.60092,1011441,1011440
Joe Biden,dBnniua6-oM,1Paq17X6ucQ,5,2009-07-30,-1,-1,4.8264174,0,2021-12-06 13:35:51,,2.503044,1011442,1011440
Joe Biden,B--S1tzXH3g,1Paq17X6ucQ,5,2021-12-05,-1,-1,4.9462271,0,2021-12-06 13:35:54,,2.982239,1011443,1011440
Joe Biden,7rZZTPp-eYU,1Paq17X6ucQ,5,2021-11-10,-1,-1,4.9034891,0,2021-12-06 13:35:57,,2.582108,1011444,1011440
Joe Biden,MF1jJy1F-8I,1Paq17X6ucQ,5,2021-12-05,-1,-1,4.9843178,0,2021-12-06 13:36:00,,2.651528,1011445,1011440
Joe Biden,tepOs-KWxLE,QlBTKmVVOOQ,4,2021-03-19,-1,-1,4.7417226,5,2021-12-06 13:36:02,"w5x4dRi5SgU,tLCsnEe0CFc,Y4pVYLbPWxw,JB49FfklrLw,T4DTclwJBOs",2.511339,1011450,1011400
Joe Biden,w5x4dRi5SgU,tepOs-KWxLE,5,2021-12-05,49,-1,4.6981134,0,2021-12-06 13:36:05,,3.219015,1011451,1011450
Joe Biden,tLCsnEe0CFc,tepOs-KWxLE,5,2021-03-12,-1,-1,4.8581161,0,2021-12-06 13:36:08,,2.66595,1011452,1011450
Joe Biden,Y4pVYLbPWxw,tepOs-KWxLE,5,2021-02-26,-1,-1,4.8854036,0,2021-12-06 13:36:11,,2.607472,1011453,1011450
Joe Biden,JB49FfklrLw,tepOs-KWxLE,5,2020-06-05,-1,-1,4.8723087,0,2021-12-06 13:36:15,,4.245373,1011454,1011450
Joe Biden,T4DTclwJBOs,tepOs-KWxLE,5,2020-06-05,-1,-1,-1.0,0,2021-12-06 13:36:20,,5.39244,1011455,1011450
Joe Biden,ki4Fbctwnjs,iG8-Y8nMPPY,3,2021-09-30,-1,-1,4.9512382,5,2021-12-06 13:36:23,"DgU-q384pO4,29n2bv7F6uc,NNWEWFWtJ1Q,DgQIOLBx3fs,U0e7OCfAO64",2.945337,1011500,1011000
Joe Biden,DgU-q384pO4,ki4Fbctwnjs,4,2021-11-01,-1,-1,4.9236693,5,2021-12-06 13:36:26,"WLoVHyuYVBY,MOF5I1fmsZA,ZKAWtNW-Xfk,29n2bv7F6uc,ki4Fbctwnjs",3.080987,1011510,1011500
Joe Biden,WLoVHyuYVBY,DgU-q384pO4,5,2021-10-15,-1,-1,4.9592161,0,2021-12-06 13:36:29,,3.032342,1011511,1011510
Joe Biden,MOF5I1fmsZA,DgU-q384pO4,5,2021-07-21,-1,-1,4.9605265,0,2021-12-06 13:36:33,,3.309047,1011512,1011510
Joe Biden,ZKAWtNW-Xfk,DgU-q384pO4,5,2021-10-28,-1,-1,4.9574718,0,2021-12-06 13:36:35,,2.737418,1011513,1011510
Joe Biden,29n2bv7F6uc,DgU-q384pO4,5,2021-08-26,-1,-1,4.9170094,0,2021-12-06 13:36:39,,3.267574,1011514,1011510
Joe Biden,ki4Fbctwnjs,DgU-q384pO4,5,2021-09-30,-1,-1,4.9512382,0,2021-12-06 13:36:42,,3.13498,1011515,1011510
Joe Biden,29n2bv7F6uc,ki4Fbctwnjs,4,2021-08-26,-1,-1,4.9170094,5,2021-12-06 13:36:45,"U0e7OCfAO64,zRRYBe12FEA,ZKAWtNW-Xfk,Sbp_EeBk-As,3RkhZgRNC1k",3.168898,1011520,1011500
Joe Biden,U0e7OCfAO64,29n2bv7F6uc,5,2020-06-23,-1,-1,4.9116669,0,2021-12-06 13:36:48,,3.020582,1011521,1011520
Joe Biden,zRRYBe12FEA,29n2bv7F6uc,5,2020-08-04,-1,-1,4.8169336,0,2021-12-06 13:36:51,,2.880082,1011522,1011520
Joe Biden,ZKAWtNW-Xfk,29n2bv7F6uc,5,2021-10-28,-1,-1,4.9574718,0,2021-12-06 13:36:54,,3.069956,1011523,1011520
Joe Biden,Sbp_EeBk-As,29n2bv7F6uc,5,2021-02-16,-1,-1,4.9589181,0,2021-12-06 13:36:57,,2.62194,1011524,1011520
Joe Biden,3RkhZgRNC1k,29n2bv7F6uc,5,2020-03-24,-1,-1,4.9362822,0,2021-12-06 13:37:00,,3.255144,1011525,1011520
Joe Biden,NNWEWFWtJ1Q,ki4Fbctwnjs,5,2020-11-19,-1,-1,4.9043899,0,2021-12-06 13:37:10,,10.557266,1011530,1011500
Joe Biden,DgQIOLBx3fs,ki4Fbctwnjs,4,2020-12-23,-1,-1,4.9212389,5,2021-12-06 13:37:14,"NNWEWFWtJ1Q,0Vw1iYAc-sE,Gtnmfb9Dnkg,16g227KwNDM,qmDAIlEGO_Q",3.226002,1011540,1011500
Joe Biden,NNWEWFWtJ1Q,DgQIOLBx3fs,5,2020-11-19,-1,-1,4.9043899,0,2021-12-06 13:37:17,,3.13304,1011541,1011540
Joe Biden,0Vw1iYAc-sE,DgQIOLBx3fs,5,2020-10-21,-1,-1,4.88555,0,2021-12-06 13:37:21,,4.393125,1011542,1011540
Joe Biden,Gtnmfb9Dnkg,DgQIOLBx3fs,5,2015-03-08,-1,-1,4.6274872,0,2021-12-06 13:37:28,,6.804235,1011543,1011540
Joe Biden,16g227KwNDM,DgQIOLBx3fs,5,2019-11-22,-1,-1,4.9326835,0,2021-12-06 13:37:31,,2.787909,1011544,1011540
Joe Biden,qmDAIlEGO_Q,DgQIOLBx3fs,5,2021-09-15,-1,-1,4.9615641,0,2021-12-06 13:37:34,,3.113908,1011545,1011540
Joe Biden,U0e7OCfAO64,ki4Fbctwnjs,4,2020-06-23,-1,-1,4.9116669,5,2021-12-06 13:37:37,"Tgr7LTRWkLo,zRRYBe12FEA,cfuib06M6P0,0EEYEW1B3To,ki4Fbctwnjs",2.941706,1011550,1011500
Joe Biden,Tgr7LTRWkLo,U0e7OCfAO64,5,2020-02-24,-1,-1,4.9154167,0,2021-12-06 13:37:40,,2.924608,1011551,1011550
Joe Biden,zRRYBe12FEA,U0e7OCfAO64,5,2020-08-04,-1,-1,4.8169336,0,2021-12-06 13:37:43,,3.13788,1011552,1011550
Joe Biden,cfuib06M6P0,U0e7OCfAO64,5,2020-05-28,-1,-1,4.8965893,0,2021-12-06 13:37:46,,2.899186,1011553,1011550
Joe Biden,0EEYEW1B3To,U0e7OCfAO64,5,2020-04-28,-1,-1,4.8695507,0,2021-12-06 13:37:49,,3.014275,1011554,1011550
Joe Biden,ki4Fbctwnjs,U0e7OCfAO64,5,2021-09-30,-1,-1,4.9512382,0,2021-12-06 13:37:52,,3.08727,1011555,1011550
Joe Biden,bA9lKS9MgRk,F4Sc70nyYBE,2,2021-12-04,234,-1,4.9000001,5,2021-12-06 13:37:55,"KgMrO9i4sy0,p9_ZCKLe-MI,OK9zhumtGg0,ki4Fbctwnjs,wk6Qr6OO5Xo",2.709117,1012000,1010000
Joe Biden,KgMrO9i4sy0,bA9lKS9MgRk,3,2021-11-28,-1,-1,4.4440699,5,2021-12-06 13:37:57,"sKo_Uk6z3KM,4cgjRCjpsQ0,0qZximL0Wew,ODLKcFQNI-0,QabAtYBnqro",2.7017,1012100,1012000
